User's manual r01uh0637jj0220-rl78g11; Version 1.00; April 22, 2019
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
ADM2,16.3.5 A/Dコンバータ・モード・レジスタ2 (ADM2),図16-8A/Dコンバータ・モード・レジスタ2(ADM2)のフォーマット(1/2),,,
ADTYP,16.3.5 A/Dコンバータ・モード・レジスタ2 (ADM2),図16-8A/Dコンバータ・モード・レジスタ2(ADM2)のフォーマット(2/2),2,,
AWC,16.3.5 A/Dコンバータ・モード・レジスタ2 (ADM2),図16-8A/Dコンバータ・モード・レジスタ2(ADM2)のフォーマット(2/2),2,,
ADRCK,16.3.5 A/Dコンバータ・モード・レジスタ2 (ADM2),図16-8A/Dコンバータ・モード・レジスタ2(ADM2)のフォーマット(2/2),2,,
ADUL,16.3.9 変換結果比較上限値設定レジスタ(ADUL),図16-13変換結果比較上限値設定レジスタ(ADUL)のフォーマット,,,
ADLL,16.3.10 変換結果比較下限値設定レジスタ(ADLL),図16-14変換結果比較下限値設定レジスタ(ADLL)のフォーマット,,,
ADTES,16.3.11 A/Dテスト・レジスタ(ADTES),図16-15A/Dテスト・レジスタ(ADTES)のフォーマット,,A/Dコンバータ,
ADTES,28.3.8 A/Dテスト機能,図28-16A/Dテスト・レジスタ(ADTES)のフォーマット,,安全機能,
PU0,4.3.3 プルアップ抵抗オプション・レジスタ(PUxx),図4-3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU3,4.3.3 プルアップ抵抗オプション・レジスタ(PUxx),図4-3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU4,4.3.3 プルアップ抵抗オプション・レジスタ(PUxx),図4-3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU5,4.3.3 プルアップ抵抗オプション・レジスタ(PUxx),図4-3プルアップ抵抗オプション・レジスタのフォーマット,,,
PU12,4.3.3 プルアップ抵抗オプション・レジスタ(PUxx),図4-3プルアップ抵抗オプション・レジスタのフォーマット,,,
PIM0,4.3.4 ポート入力モード・レジスタ(PIMxx),図4-4ポート入力モード・レジスタのフォーマット,,,
PIM3,4.3.4 ポート入力モード・レジスタ(PIMxx),図4-4ポート入力モード・レジスタのフォーマット,,,
PIM4,4.3.4 ポート入力モード・レジスタ(PIMxx),図4-4ポート入力モード・レジスタのフォーマット,,,
PIM5,4.3.4 ポート入力モード・レジスタ(PIMxx),図4-4ポート入力モード・レジスタのフォーマット,,,
POM0,4.3.5 ポート出力モード・レジスタ(POMxx),図4-5ポート出力モード・レジスタのフォーマット,,,
POM3,4.3.5 ポート出力モード・レジスタ(POMxx),図4-5ポート出力モード・レジスタのフォーマット,,,
POM4,4.3.5 ポート出力モード・レジスタ(POMxx),図4-5ポート出力モード・レジスタのフォーマット,,,
POM5,4.3.5 ポート出力モード・レジスタ(POMxx),図4-5ポート出力モード・レジスタのフォーマット,,,
PMC0,4.3.6 ポート・モード・コントロール・レジスタ(PMCxx),図4-6ポート・モード・コントロール・レジスタのフォーマット,,,
PMC2,4.3.6 ポート・モード・コントロール・レジスタ(PMCxx),図4-6ポート・モード・コントロール・レジスタのフォーマット,,ポート機能,
PMC2,18.3.5 ポート・モード・コントロール・レジスタ2（PMC2）,図18-6ポート・モード・コントロール・レジスタ2（PMC2）のフォーマット,,プログラマブル・ゲイン・アンプ(PGA),
PMC3,4.3.6 ポート・モード・コントロール・レジスタ(PMCxx),図4-6ポート・モード・コントロール・レジスタのフォーマット,,,
PMC5,4.3.6 ポート・モード・コントロール・レジスタ(PMCxx),図4-6ポート・モード・コントロール・レジスタのフォーマット,,,
NFEN0,13.3.17 ノイズ・フィルタ許可レジスタ0 (NFEN0),図13-22ノイズ・フィルタ許可レジスタ0(NFEN0)のフォーマット,,,
NFEN1,7.3.15 ノイズ・フィルタ許可レジスタ1 (NFEN1),図7-23ノイズ・フィルタ許可レジスタ1(NFEN1)のフォーマット,,,
ISC,7.3.14 入力切り替え制御レジスタ(ISC),図7-22入力切り替え制御レジスタ(ISC)のフォーマット,,タイマ・アレイ・ユニット,
ISC,13.3.16 入力切り替え制御レジスタ(ISC),図13-21入力切り替え制御レジスタ(ISC)のフォーマット,,シリアル・アレイ・ユニット,
SSIE00,13.3.16 入力切り替え制御レジスタ(ISC),図13-21入力切り替え制御レジスタ(ISC)のフォーマット,2,シリアル・アレイ・ユニット,
TIS0,7.3.9 タイマ入力選択レジスタ0 (TIS0),図7-17タイマ入力選択レジスタ0(TIS0)のフォーマット,,タイマ・アレイ・ユニット,
TIS0,28.3.7 周波数検出機能,図28-14タイマ入力選択レジスタ0(TIS0)のフォーマット,,安全機能,
PIOR2,4.3.7 周辺I/Oリダイレクション・レジスタ (PIORx),図4-7周辺I/Oリダイレクション・レジスタ(PIORx)のフォーマット,,,
PIOR0,4.3.7 周辺I/Oリダイレクション・レジスタ (PIORx),図4-7周辺I/Oリダイレクション・レジスタ(PIORx)のフォーマット,,,
IAWCTL,28.3.4 RAMガード機能,図28-9不正メモリ・アクセス検出制御レジスタ(IAWCTL)のフォーマット,,RAMガード機能,
IAWCTL,28.3.5 SFRガード機能,図28-10不正メモリ・アクセス検出制御レジスタ(IAWCTL)のフォーマット,,SFRガード機能,
IAWCTL,28.3.6 不正メモリ・アクセス検出機能,図28-12不正メモリ・アクセス検出制御レジスタ(IAWCTL)のフォーマット,,不正メモリ・アクセス検出機能,
PIOR1,4.3.7 周辺I/Oリダイレクション・レジスタ (PIORx),図4-7周辺I/Oリダイレクション・レジスタ(PIORx)のフォーマット,,,
PMS,28.3.9 入出力端子のデジタル出力信号レベル検出機能,図28-18ポート・モード選択レジスタ(PMS)のフォーマット,,,
PIOR3,4.3.7 周辺I/Oリダイレクション・レジスタ (PIORx),図4-7周辺I/Oリダイレクション・レジスタ(PIORx)のフォーマット,,,
GDIDIS,4.3.8 グローバル・デジタル・インプット・ディスエーブル・レジスタ(GDIDIS),図4-8グローバル・デジタル・インプット・ディスエーブル・レジスタ(GDIDIS),,,
DFLCTL,31.8.2 データ・フラッシュを制御するレジスタ,図31-12データ・フラッシュ・コントロール・レジスタ(DFLCTL)のフォーマット,,,
DFLEN,31.8.2 データ・フラッシュを制御するレジスタ,図31-12データ・フラッシュ・コントロール・レジスタ(DFLCTL)のフォーマット,2,,
HIOTRM,6.3.10 高速オンチップ・オシレータ・トリミング・レジスタ(HIOTRM),図6-13高速オンチップ・オシレータ・トリミング・レジスタ(HIOTRM)のフォーマット,,,
